director_name,actor_1_name,actor_2_name,actor_3_name,genres,gross
5,4,5,4,Drama,60655503
5,5,1,4,Thriller,60655503
3,12,7,7,Adventure,76846624
3,7,4,8,Family,76846624
1,13,4,4,Fantasy,76846624
2,2,5,3,Adventure,320706665
2,2,4,2,Animation,320706665
2,6,9,8,Comedy,320706665
2,2,5,3,Family,320706665
2,1,6,2,Fantasy,320706665
1,6,4,1,Action,46978995
1,2,2,1,Adventure,46978995
1,3,1,1,Fantasy,46978995
2,11,1,2,Action,89732035
2,10,1,1,Adventure,89732035
1,3,1,1,Sci-Fi,89732035
2,4,2,1,Adventure,104383624
1,1,2,1,Family,104383624
1,3,2,1,Fantasy,104383624
12,3,3,6,Action,198539855
4,10,1,3,Drama,198539855
1,1,1,2,History,198539855
3,5,2,3,Romance,198539855
2,1,1,2,War,198539855
12,2,1,4,Action,318759914
8,1,1,3,Adventure,318759914
7,1,2,4,Sci-Fi,318759914
1,10,14,2,Action,34293771
1,9,10,2,Adventure,34293771
5,4,3,2,Biography,34293771
13,21,10,5,Drama,34293771
5,5,2,2,History,34293771
1,10,10,3,Romance,34293771
3,2,3,2,War,34293771
4,6,7,3,Adventure,292000866
2,2,6,3,Family,292000866
2,6,7,4,Fantasy,292000866
2,2,6,1,Mystery,292000866
2,6,7,4,Adventure,289994397
1,2,6,4,Family,289994397
2,6,7,4,Fantasy,289994397
1,2,6,4,Mystery,289994397
5,11,9,5,Action,227946274
3,10,17,8,Drama,227946274
2,10,4,2,Drama,256386216
1,1,1,1,Horror,256386216
4,9,4,1,Sci-Fi,256386216
7,12,9,3,Adventure,206456431
6,10,4,3,Comedy,206456431
5,7,4,3,Family,206456431
8,13,9,2,Fantasy,206456431
3,3,10,1,Animation,206435493
2,9,9,3,Comedy,206435493
4,3,10,1,Family,206435493
1,4,7,1,Fantasy,206435493
4,10,17,16,Action,205343774
3,9,11,6,Adventure,205343774
1,2,4,3,Action,179982968
5,2,4,3,Adventure,179982968
5,1,4,3,Animation,179982968
5,12,11,9,Comedy,179982968
5,2,3,3,Family,179982968
6,5,3,6,Adventure,177243721
11,21,3,14,Comedy,177243721
7,10,3,10,Family,177243721
3,6,3,6,Fantasy,177243721
2,9,8,1,Action,179883016
1,11,6,1,Adventure,179883016
1,9,5,1,Fantasy,179883016
2,10,5,1,Sci-Fi,179883016
2,9,7,1,Thriller,179883016
5,1,1,2,Action,139259759
4,1,1,1,Sci-Fi,139259759
1,2,1,1,Adventure,400736600
1,4,2,1,Animation,400736600
1,7,3,1,Comedy,400736600
1,3,2,1,Family,400736600
1,1,1,1,Fantasy,400736600
1,1,1,1,Musical,400736600
5,2,1,1,Action,281492479
4,1,1,1,Sci-Fi,281492479
2,11,8,10,Action,206360018
2,11,7,9,Adventure,206360018
1,5,6,6,Fantasy,206360018
3,7,9,3,Action,153629485
4,4,6,3,Adventure,153629485
3,3,6,3,Sci-Fi,153629485
3,9,11,3,Thriller,153629485
2,4,1,3,Mystery,133375846
4,6,2,4,Thriller,133375846
3,11,8,10,Action,181015141
1,11,7,9,Adventure,181015141
3,5,6,6,Fantasy,181015141
1,3,1,1,Adventure,114053579
1,1,2,1,Animation,114053579
1,7,7,1,Comedy,114053579
1,8,2,1,Drama,114053579
1,3,2,1,Family,114053579
1,2,1,1,Action,119420252
1,1,1,1,Adventure,119420252
1,1,1,1,Animation,119420252
1,5,1,1,Comedy,119420252
1,1,1,1,Family,119420252
1,1,1,1,Fantasy,119420252
1,1,1,1,Sci-Fi,119420252
4,17,5,1,Action,83640426
3,11,1,1,Adventure,83640426
1,5,1,3,Fantasy,83640426
6,10,7,4,Comedy,79711678
8,13,5,9,Fantasy,79711678
2,7,6,2,Horror,79711678
4,14,5,2,Action,195000874
1,8,4,2,Adventure,195000874
4,16,7,2,Thriller,195000874
1,21,1,2,Drama,61937495
1,6,1,1,Fantasy,61937495
1,4,1,1,Horror,61937495
2,10,1,2,Thriller,61937495
2,4,4,2,Action,124051759
4,4,3,2,Adventure,124051759
2,6,7,2,Drama,124051759
2,4,4,2,Romance,124051759
1,4,1,4,Adventure,126597121
1,3,2,1,Animation,126597121
1,10,2,7,Comedy,126597121
1,5,3,4,Family,126597121
1,14,11,1,Action,165230261
1,10,9,1,Adventure,165230261
1,4,4,1,Animation,165230261
1,8,3,1,Comedy,165230261
1,5,6,1,Family,165230261
2,1,1,2,Action,131564731
2,1,1,1,Adventure,131564731
1,1,1,1,Family,131564731
2,1,1,2,Fantasy,131564731
3,2,14,5,Action,133382309
3,6,8,4,Adventure,133382309
2,7,16,6,Thriller,133382309
6,7,1,1,Action,73103784
4,13,3,4,Drama,73103784
3,6,2,3,Thriller,73103784
2,1,2,2,Action,21379315
2,1,3,2,Adventure,21379315
1,1,3,1,Animation,21379315
1,1,5,3,Comedy,21379315
1,1,3,3,Family,21379315
2,1,1,2,Sci-Fi,21379315
1,11,3,2,Adventure,64459316
2,3,1,1,Animation,64459316
4,7,4,1,Comedy,64459316
4,6,2,1,Family,64459316
3,11,3,4,Adventure,34964818
3,6,3,3,Family,34964818
3,9,3,4,Fantasy,34964818
4,3,1,1,Adventure,111505642
2,1,1,1,Animation,111505642
4,4,1,2,Comedy,111505642
4,2,1,2,Family,111505642
1,2,1,1,Sci-Fi,111505642
5,6,9,3,Adventure,133228348
5,4,5,3,Adventure,216366733
5,4,4,3,Animation,216366733
5,11,3,9,Comedy,216366733
5,3,5,3,Family,216366733
3,2,6,2,Action,160201106
3,1,3,1,Adventure,160201106
5,3,6,2,Thriller,160201106
3,2,2,2,Action,118099659
5,5,2,3,Comedy,118099659
2,2,2,2,Fantasy,118099659
2,2,2,2,Sci-Fi,118099659
12,23,8,5,Action,201573391
8,10,9,2,Adventure,201573391
7,5,6,2,Sci-Fi,201573391
7,25,9,5,Thriller,201573391
3,11,6,3,Action,190418803
3,6,3,4,Adventure,190418803
7,9,7,7,Comedy,190418803
3,3,3,4,Family,190418803
3,3,2,1,Fantasy,190418803
2,4,4,2,Mystery,190418803
4,9,2,4,Sci-Fi,190418803
1,1,10,1,Action,82161969
7,2,9,1,Adventure,82161969
3,2,1,1,Animation,82161969
5,3,6,1,Fantasy,82161969
1,11,14,3,Action,143523463
1,10,10,5,Adventure,143523463
1,2,4,4,Animation,143523463
1,13,8,5,Comedy,143523463
1,2,5,4,Family,143523463
4,14,5,1,Action,209364921
4,8,4,1,Adventure,209364921
1,16,7,1,Thriller,209364921
1,11,1,1,Adventure,103400692
1,3,1,2,Animation,103400692
1,6,1,2,Family,103400692
1,9,1,2,Fantasy,103400692
4,8,1,2,Comedy,110332737
2,1,2,1,Crime,110332737
3,14,3,2,Action,111110575
7,15,5,1,Drama,111110575
3,2,1,1,History,111110575
5,4,1,1,War,111110575
8,10,2,5,Action,65007045
7,9,2,4,Adventure,65007045
13,22,2,7,Drama,65007045
3,11,6,4,Action,257704099
3,11,8,4,Adventure,257704099
3,4,8,4,Sci-Fi,257704099
5,11,10,5,Action,403706375
6,10,10,8,Adventure,403706375
6,3,7,5,Fantasy,403706375
5,15,8,16,Romance,403706375
1,13,10,1,Action,176997107
3,7,10,3,Adventure,176997107
3,2,1,2,Animation,176997107
2,5,3,5,Comedy,176997107
3,3,2,4,Family,176997107
3,8,5,2,Fantasy,176997107
4,13,2,1,Action,31141074
1,7,2,2,Adventure,31141074
3,8,1,1,Fantasy,31141074
10,4,5,3,Action,31704416
5,4,3,4,Adventure,31704416
1,2,3,1,Sci-Fi,31704416
10,6,6,3,Thriller,31704416
8,1,1,1,Action,107503316
2,2,8,2,Drama,107503316
1,1,1,1,Mystery,107503316
3,1,1,1,Sci-Fi,107503316
7,13,3,1,Action,129734803
5,6,4,1,Crime,129734803
5,9,5,1,Thriller,129734803
2,1,1,1,Action,132122995
1,1,1,1,Sci-Fi,132122995
2,7,18,2,Action,122512052
2,3,12,2,Adventure,122512052
1,2,5,1,Sci-Fi,122512052
2,6,10,1,Thriller,122512052
2,6,2,8,Action,68642452
2,4,2,2,Adventure,68642452
1,10,7,4,Comedy,68642452
2,8,1,9,Thriller,68642452
1,8,2,1,Action,32131830
1,9,3,2,Adventure,32131830
1,7,2,2,Animation,32131830
1,8,2,2,Fantasy,32131830
1,9,1,1,Romance,32131830
1,6,1,1,Sci-Fi,32131830
3,8,6,4,Action,176636816
3,6,2,3,Adventure,176636816
2,7,1,3,Sci-Fi,176636816
1,6,1,10,Action,126930660
2,3,1,10,Adventure,126930660
3,6,1,10,Thriller,126930660
1,1,1,1,Action,93926386
1,1,1,1,Adventure,93926386
4,1,1,1,Drama,93926386
1,1,1,1,History,93926386
1,1,1,1,War,93926386
2,6,9,5,Adventure,292298923
6,6,17,5,Drama,292298923
2,6,8,6,Fantasy,292298923
2,6,9,6,Romance,292298923
2,3,3,1,Animation,63992328
3,21,8,5,Comedy,63992328
3,10,3,2,Family,63992328
1,2,1,1,Musical,63992328
6,3,4,4,Action,134518390
3,3,2,5,Adventure,134518390
1,2,2,4,Sci-Fi,134518390
12,1,1,2,Adventure,52792307
4,1,1,1,Family,52792307
4,1,1,2,Fantasy,52792307
1,5,4,1,Adventure,183635922
6,18,6,3,Drama,183635922
2,8,9,4,Thriller,183635922
1,3,1,1,Western,183635922
1,6,1,1,Adventure,83024900
1,2,1,1,Animation,83024900
1,10,4,1,Comedy,83024900
1,2,1,1,Family,83024900
1,1,1,1,Sport,83024900
6,12,4,3,Adventure,123207194
1,2,1,3,Animation,123207194
3,10,2,15,Comedy,123207194
1,7,2,5,Family,123207194
2,2,2,1,Western,123207194
5,2,1,2,Adventure,83348920
5,1,1,2,Animation,83348920
5,1,1,3,Comedy,83348920
5,1,1,2,Family,83348920
4,10,5,3,Action,227137090
2,5,3,1,Mystery,227137090
6,17,7,3,Thriller,227137090
1,14,3,2,Action,215395021
2,10,5,3,Adventure,215395021
2,4,4,3,Animation,215395021
1,8,5,5,Comedy,215395021
2,5,4,3,Family,215395021
1,6,4,1,Action,180191634
1,5,3,1,Adventure,180191634
4,16,1,3,Comedy,180191634
1,6,3,1,Sci-Fi,180191634
3,7,10,1,Adventure,424645577
